tool_name,legacy_runtime_s,next_gen_runtime_s,speedup_ratio,speedup_pct,time_savings_s,parity_band
d8_pointer,2.42,2.69,0.9,-11.16,-0.27,Yellow
d8_pointer,0.22,0.25,0.88,-13.64,-0.03,Yellow
k_nearest_mean_filter,3.04,3.47,0.87,-14.33,-0.44,Red
laplacian_of_gaussians_filter,3.46,4.08,0.85,-18.23,-0.63,Red
pennock_landform_classification,1.48,1.82,0.82,-22.22,-0.33,Red
aggregate_raster,1.02,1.3,0.78,-27.45,-0.28,Red
fill_pits,1.86,2.92,0.64,-56.72,-1.06,Red
intersect,0.08,0.13,0.62,-62.5,-0.05,Red
difference,0.08,0.23,0.35,-187.5,-0.15,Red
erase,0.06,0.22,0.27,-266.67,-0.16,Red
dissolve,0.0,0.04,0.0,-inf,-0.04,Red
